Codigo;Codigo de Barra;Descripcion;Rubro;Alicuota;Precio;Precio Oferta
2;7790520986160;raid jeringa                                     ;CARNICERIA                             ;21;80;0
4;23232323;fideo terrabussi AZUL CAB ANGEL X 500 G          ;CARNICERIA                             ;21;320;0
5;7790748235149;MERLUZA PUGLISI AC                               ;CARNICERIA                             ;21;2440;0
6;7500435203227;ARIEL LIQUIDO X 2.7                              ;CARNICERIA                             ;21;1370;0
7;7501006731811;ACE LIQ X 3 LTS                                  ;CARNICERIA                             ;21;327.1;0
8;7795991002241;TKT JABON LIQ X 5L                               ;CARNICERIA                             ;21;910;0
9;7501065917751;ARIEL LIQ X 1.5 L C/SUAVIZ                       ;CARNICERIA                             ;21;178.5;0
10;7501001396527;ARIEL LIQDO X 800 ML                             ;CARNICERIA                             ;21;147.9;0
11;7500435110808;ACE LIQ X 2l DP                                  ;CARNICERIA                             ;21;194.5;0
13;7790520987297;BLEM AEROSOL LAVANDA                             ;CARNICERIA                             ;21;4420;0
14;7796453000041;PERFUME ROPA AEROSOL                             ;CARNICERIA                             ;21;16.3;0
15;15;QUESO rall don bosco                             ;CARNICERIA                             ;21;2300;0
16;7795991001985;TKT PLANCHA X 1 LT                               ;CARNICERIA                             ;21;250;0
17;7795991001695;TKT PERFUME SPRAY x 250                          ;CARNICERIA                             ;21;210;0
18;18;TKT PERFUME SPRAY x250                           ;CARNICERIA                             ;21;210;0
19;7794000004443;KNORR salsa tomate deshidr                       ;CARNICERIA                             ;21;620;0
20;7790520200303;KLARO AEROSOL                                    ;CARNICERIA                             ;21;350;0
21;7798125150023;QUITA SARRO X500                                 ;CARNICERIA                             ;21;600;0
22;7790900015329;ANTIHUMEDAD LIMON RTO                            ;CARNICERIA                             ;21;152.5;0
23;7793253060114;POET MOCHILA VERDE                               ;CARNICERIA                             ;21;17.8;0
24;7791130100793;HARPIC BLOQUE X 2 U                              ;CARNICERIA                             ;21;3920;0
25;7793253300081;PASTILLA AYUDIN                                  ;CARNICERIA                             ;21;3110;0
26;7790900015121;ANTIHUMEDAD MAX  350 GRS                         ;CARNICERIA                             ;21;7600;0
27;7791130004176;HARPIC trip acc X 500                            ;CARNICERIA                             ;21;4450;0
28;7640175740047;gin BOMBAY                                       ;CARNICERIA                             ;21;39000;0
29;7790520552808;MR MUSCULO CANASTA LIQ                           ;CARNICERIA                             ;21;0;0
30;7790520000026;GLADE AUTO FULL                                  ;CARNICERIA                             ;21;265;0
31;7790520989420;GLADE TOQUE AP                                   ;CARNICERIA                             ;21;255;0
32;7790520989246;GLADE GLAS ACRILICO                              ;CARNICERIA                             ;21;125;0
33;7791130000826;BELAROM PASTILLA                                 ;CARNICERIA                             ;21;9;0
34;7790520002358;GLADE ACEITE RTO                                 ;CARNICERIA                             ;21;222;0
35;7795991001862;TKT PERFUME X 1LT GATILLO                        ;CARNICERIA                             ;21;158;0
36;1193233111113;SOBRE PLASTICO OFICIO                            ;CARNICERIA                             ;21;142;0
37;7793350000402;POMADA LIQUIDA WASSINGTON                        ;CARNICERIA                             ;21;3310;0
38;7793350120247;wassington revit cuero                           ;CARNICERIA                             ;21;8850;0
39;7793350000280;BRILLO MAGICO                                    ;CARNICERIA                             ;21;3700;0
40;7790590000339;FOSFOROS 222                                     ;CARNICERIA                             ;21;930;0
41;7790900016449;AIRE PUR AUTOS DESC                              ;CARNICERIA                             ;21;38.9;0
42;42;APLICADOR CALZADO                                ;CARNICERIA                             ;21;19;0
43;7795991002166;TKT PLACARD PERCHA                               ;CARNICERIA                             ;21;200;0
44;7793350993018;WASSIGTON MARRON claro                           ;CARNICERIA                             ;21;2660;0
45;7506195119716;ACE LIQ X 800                                    ;CARNICERIA                             ;21;51.6;0
46;7791290004122;SKIP polvo X 900                                 ;CARNICERIA                             ;21;310;0
47;7791290002302;SKIP X 3 K                                       ;CARNICERIA                             ;21;201;0
48;7791290002562;ALA polvo  X 3 KG SOL                            ;CARNICERIA                             ;21;8399;0
49;7791290002630;ALA polvo matic X 800 VIVER                      ;CARNICERIA                             ;21;2080;0
51;7791290783348;DRIVE X 400                                      ;CARNICERIA                             ;21;55.9;0
52;7791290001183;ALA MATIC ROPA FINA  X 900DP                     ;CARNICERIA                             ;21;1100;0
53;7791290001169;ALA CAMELLITO 450 ML DP                          ;CARNICERIA                             ;21;1000;0
54;7791130005555;WOOLITE X 450ML MANO BOT                         ;CARNICERIA                             ;21;3450;0
55;7791290784543;ALA BOT X 450 MATIC                              ;CARNICERIA                             ;21;112;0
56;7794000005914;MIX knorr ahumado                                ;CARNICERIA                             ;21;170;0
57;7793253189204;TRENET DP X 500ML OXI                            ;CARNICERIA                             ;21;2125;0
58;7791351130319;PIMENTON ESPA—OL                                 ;CARNICERIA                             ;21;440;0
59;7791130015004;VANISH liq DP X 400                              ;CARNICERIA                             ;21;1100;0
60;7791130014113;VANISH OXI GATILLO                               ;CARNICERIA                             ;21;4430;0
61;7793253189006;TRENET OXI GATILLO                               ;CARNICERIA                             ;21;940;0
62;7791130014021;VANISH WHITE X 750 ml                            ;CARNICERIA                             ;21;239;0
63;7793253052102;TRENET BOLILLA                                   ;CARNICERIA                             ;21;2500;0
64;http—--yerbamanda.c;TE AMANDA X 25                                   ;CARNICERIA                             ;21;115;0
65;7791130102018;VANISH ALFOMBRAS AEROSOL                         ;CARNICERIA                             ;21;180;0
66;7793253175634;ARCO IRIS DP X 400                               ;CARNICERIA                             ;21;15.7;0
67;7790911000277;REVIGAL SILICONA AEROSOL                         ;CARNICERIA                             ;21;202.9;0
68;7790580129873;pote de dulce membrillo arcor                    ;CARNICERIA                             ;21;210;0
69;7793350000723;LIMPIA METAL  REX  x250                          ;CARNICERIA                             ;21;249;0
70;7791130000994;BRILLA METAL SILVO                               ;CARNICERIA                             ;21;185;0
71;7790900008550;RESTAURADOR IBERIA                               ;CARNICERIA                             ;21;28.5;0
72;7793350992530;VENIER MEDIO                                     ;CARNICERIA                             ;21;149.5;0
73;7891035050602;VANISH WHITE polvo X 450 G                       ;CARNICERIA                             ;21;7630;0
74;7791130026819;ESPADOL AEROSOL                                  ;CARNICERIA                             ;21;0;0
75;7790520986801;LYSOFORM AEROSOL BB                              ;CARNICERIA                             ;21;3680;0
76;7793253047115;AYUDIN AERO BB                                   ;CARNICERIA                             ;21;3069;0
77;7791290793378;CIF CREMA C LAVAND X 750                         ;CARNICERIA                             ;21;2989.9;0
78;7791290000421;CIF CREMA x 750                                  ;CARNICERIA                             ;21;2890;0
80;7791290789869;cif muebles DP x 380                             ;CARNICERIA                             ;21;1820;0
81;81;TENTACULO de CALAMAR                             ;CARNICERIA                             ;21;2350;0
82;7791290788169;CIF GEL X 500 2en1                               ;CARNICERIA                             ;21;255;0
83;7791130005234;PROCENEX CREMoso x 730                           ;CARNICERIA                             ;21;17.5;0
84;7796453000072;AEROMATIZADOR e.salv limon                       ;CARNICERIA                             ;21;38;0
85;7790900015534;AERO MATIC LAV                                   ;CARNICERIA                             ;21;51.5;0
86;7791130013802;DESOD AERO AIRWIK BB                             ;CARNICERIA                             ;21;9.65;0
87;7793253039035;POETT AEROSOL                                    ;CARNICERIA                             ;21;2580;0
88;7793350000716;LIMPIADOR REX GATILLO                            ;CARNICERIA                             ;21;21.5;0
89;7790520508607;RAID AERO SIN OLOR                               ;CARNICERIA                             ;21;4210;0
90;7790520986153;RAID CASA Y JARDIN                               ;CARNICERIA                             ;21;6180;0
91;7790520007711;RAID DOB ACCION                                  ;CARNICERIA                             ;21;3300;0
92;7790520508485;RAID AEROSOL                                     ;CARNICERIA                             ;21;8060;0
93;7790520011770;RAID antiPOLILLAS                                ;CARNICERIA                             ;21;6240;0
94;7796217000096;REPZOL PERCHA ANTIPOLILLAS                       ;CARNICERIA                             ;21;850;0
95;7796217000034;REPZOL NAFT BOLITAS                              ;CARNICERIA                             ;21;1450;0
96;7790520010469;ESPIRALES X4 UN                                  ;CARNICERIA                             ;21;200;0
97;7798317822615;ESPONJA MAQUILL GOTA                             ;CARNICERIA                             ;21;200;0
98;7791290785298;CIF ANTIG GATILLO                                ;CARNICERIA                             ;21;3015;0
99;7791290782310;CIF POWER CR BAÒO GATILLO                        ;CARNICERIA                             ;21;92;0
100;7791290785328;CIF VIDRIO GATILLO                               ;CARNICERIA                             ;21;2350;0
101;7791290008182;CIF UNIVERS GATILLO                              ;CARNICERIA                             ;21;52.6;0
102;7791290795785;CIF desinfectante aerosol                        ;CARNICERIA                             ;21;2440;0
103;7791290782334;CIF POWER CR COCINA GATILLO                      ;CARNICERIA                             ;21;99.9;0
104;7791290785366;CIF BAÒO GATILLO                                 ;CARNICERIA                             ;21;2350;0
105;7792655000247;LIMPIA HORNOS spray                              ;CARNICERIA                             ;21;699;0
106;7791130016711;PROCENEX ANTIGR GATILLO                          ;CARNICERIA                             ;21;27;0
107;7791130016780;PROCENEX 4 EN 1 GATILLO                          ;CARNICERIA                             ;21;25.8;0
108;7791290785335;CIF VIDRIO BOT                                   ;CARNICERIA                             ;21;220;0
109;7791290782488;CIF POWER COCINA BOT                             ;CARNICERIA                             ;21;30.9;0
110;7791290782471;CIF POW COCINA BOT                               ;CARNICERIA                             ;21;30.5;0
111;7791290006713;CIF ANTIG D P X 450                              ;CARNICERIA                             ;21;1820;0
112;7791290789845;CIF muebles gatillo                              ;CARNICERIA                             ;21;2550;0
113;7791290781856;CIF BAÒO DP X 500                                ;CARNICERIA                             ;21;1360;0
114;7791290782341;CIF POWER CREM COCINA DP                         ;CARNICERIA                             ;21;42;0
115;7791130015523;PROCENEX 4 EN 1 DP                               ;CARNICERIA                             ;21;425;0
116;7790520987464;LYSOFORM DP X 450                                ;CARNICERIA                             ;21;120;0
118;7622300628420;TANG D                                           ;CARNICERIA                             ;21;417;0
119;7790050001371;CLIGHT POMELO ROSA                               ;CARNICERIA                             ;21;445;0
120;7790387015607;YERBA LA MERCED                                  ;CARNICERIA                             ;21;3770;0
121;7622300335137;TITA                                             ;CARNICERIA                             ;21;900;0
123;7792960000147;POET X 900 LIQ                                   ;CARNICERIA                             ;21;1720;0
124;7793253603335;PINOLUZ X 4 LTS                                  ;CARNICERIA                             ;21;600;0
125;7793253603311;PINOLUZ X 900                                    ;CARNICERIA                             ;21;1750;0
126;7795991000551;TKT PISOS X 1,800ML VERDE                        ;CARNICERIA                             ;21;40;0
127;7795991000261;TKT X 4 L PISOS FUCSIA                           ;CARNICERIA                             ;21;45;0
128;7791290784499;VIVERE DP  X 900                                 ;CARNICERIA                             ;21;1980;0
129;7791290001015;CONFORT DP CLASICO X 900                         ;CARNICERIA                             ;21;2710;0
130;7795991001978;TKT SUAV DP  BB X 900                            ;CARNICERIA                             ;21;115;0
131;7795991002135;TKT SUAV ANTIBAC X 4 LTS                         ;CARNICERIA                             ;21;147;0
132;7795991002128;TKT SUAV X 2 LTS                                 ;CARNICERIA                             ;21;120;0
133;7793253003562;POET X 4 LTS BB                                  ;CARNICERIA                             ;21;7760;0
134;7791290793866;VIVERE X 3lts botella                            ;CARNICERIA                             ;21;8749;0
135;7793253341251;LAVAND AYUDIN X 4LTS                             ;CARNICERIA                             ;21;5169;0
136;7793253341244;LAVAND AYUDIN X 2                                ;CARNICERIA                             ;21;2440;0
137;7790132098459;LAVAND AYUDIN X 1 LT MAX PUR                     ;CARNICERIA                             ;21;1200;0
138;7791290794962;VIM LAVAND GEL X 700ML                           ;CARNICERIA                             ;21;2439;0
139;7791290005518;VIM LAVAND GEL X 300ML                           ;CARNICERIA                             ;21;23.9;0
140;7791290000704;DETER ALA  CRISTAL X 4 LTS                       ;CARNICERIA                             ;21;639;0
141;7793253940102;AYUDIN R/COLOR DP X 650                          ;CARNICERIA                             ;21;199;0
142;7793253003234;AYUDIN R/COLOR X 400 DP                          ;CARNICERIA                             ;21;165;0
143;7790132094109;AYUDIN ROPA BLANCA X 1 LT                        ;CARNICERIA                             ;21;2150;0
144;7791290785021;DETER ALA X 750 LIMON                            ;CARNICERIA                             ;21;2130;0
145;7506195176702;MAGISTRAL X 300 LIMON                            ;CARNICERIA                             ;21;1760;0
146;7791290000674;DETER ala x 300                                  ;CARNICERIA                             ;21;55.9;0
147;147;pu                                               ;CARNICERIA                             ;21;830;0
148;7791290010734;JABON barra ala x 200                            ;CARNICERIA                             ;21;46;0
149;7796311000022;JABON 6M                                         ;CARNICERIA                             ;21;1440;0
150;7791293046112;JAB LIQ DOVE DOSIFICADOR                         ;CARNICERIA                             ;21;1500;0
151;7794440001729;VIRULANA X 6 U                                   ;CARNICERIA                             ;21;720;0
152;7791625004018;VIRULANA X 10 U                                  ;CARNICERIA                             ;21;1100;0
153;7790520986627;ECHO LISTO X 900 LAVANDA                         ;CARNICERIA                             ;21;5259.8;0
154;7793253000554;PAÒO MORTIMER PISOS                              ;CARNICERIA                             ;21;255;0
155;7792459000115;LIMPIA VIDRIOS C CABO                            ;CARNICERIA                             ;21;1100;0
156;7790925000126;SECARDOR d PISOS MED NJA                         ;CARNICERIA                             ;21;159;0
157;7790345001758;SECADOR d PISOS dobl goma                        ;CARNICERIA                             ;21;2030;0
158;7792459013115;SECADOR 26                                       ;CARNICERIA                             ;21;950;0
159;7791905004547;ODEX AEROSOL                                     ;CARNICERIA                             ;21;255;0
160;7798024450118;TRAPO PISO 62X48 Mr  TRAPO                       ;CARNICERIA                             ;21;1700;0
161;7790927812932;trapo piso 1/2 NJA BLANCO VIRULANA               ;CARNICERIA                             ;21;1700;0
162;7790463001005;CERAMICOL LAMPAZOSX 900                          ;CARNICERIA                             ;21;4030;0
163;7790345147005;SOPAPA COLOR                                     ;CARNICERIA                             ;21;590;0
164;7790520986757;CERA BLEM bot X 800                              ;CARNICERIA                             ;21;8690;0
165;7790139000318;ALCOHOL QUEMAR X 1 LT                            ;CARNICERIA                             ;21;3270;0
166;7790520018021;CERA BLEM MADERA X 900                           ;CARNICERIA                             ;21;50.3;0
167;7796453000027;LIQ LAMPAZOS AEROSOL                             ;CARNICERIA                             ;21;5160;0
168;168;DE                                               ;CARNICERIA                             ;21;156.7;0
169;7790177000172;FLUIDO ALLEM X 500                               ;CARNICERIA                             ;21;200;0
170;7791130104326;HARPIC POWER PLUS Ng x500                        ;CARNICERIA                             ;21;4450;0
171;7891360595090;LAPIZ FABER X 12                                 ;CARNICERIA                             ;21;49;0
172;7792459000245;ESCOBILLA P BAÒO                                 ;CARNICERIA                             ;21;2630;0
173;7792459000351;ESCOBILLA C DEPOSITO                             ;CARNICERIA                             ;21;5600;0
174;7790080014020;RALLADITO X 40G SANCOR                           ;CARNICERIA                             ;21;1850;0
175;7790080014945;RALLADO STA BRIGIDA X 120G                       ;CARNICERIA                             ;21;3440;0
176;7794000783195;Ss                                               ;CARNICERIA                             ;21;6.3;0
177;7794000594609;CALDO KNORR X 6 CARNE                            ;CARNICERIA                             ;21;1050;0
178;7797470003701;ARROZ MANDISOVI x 500                            ;CARNICERIA                             ;21;900;0
179;7794580000019;ARROZ MOCOVI X 1 k estuche                       ;CARNICERIA                             ;21;4200;0
180;7791880000022;ARROZ gallo DOOBLE CAROLINA X 1 K                ;CARNICERIA                             ;21;4450;0
181;7790070431004;ARROZ GALLO ORO X 1K ESTUCHE                     ;CARNICERIA                             ;21;4290;0
182;7794060000058;ARROZ SUSARELLI X 1K                             ;CARNICERIA                             ;21;85;0
183;7790070411792;ARROZ CARNAROLI x500                             ;CARNICERIA                             ;21;2470;0
184;7792200000876;FIDEO MULTIPLE guis NOQUIS                       ;CARNICERIA                             ;21;65;0
185;7792200000838;FIDEO MULTIPLE MUNICION                          ;CARNICERIA                             ;21;1316;0
186;7790070317476;LASAGNA X400                                     ;CARNICERIA                             ;21;2970;0
187;7794000561618;CALDO KNOR X 4 Sob S/SAL                         ;CARNICERIA                             ;21;115;0
188;7790150696453;CALDO P/SABORIZAR PANCETA SOBRE                  ;CARNICERIA                             ;21;300;0
189;7794000595088;SABOR EN CUBOS x 4                               ;CARNICERIA                             ;21;9;0
190;190;chicharron                                       ;CARNICERIA                             ;21;350;0
191;7790070318992;FIDEO CANALE TALL                                ;CARNICERIA                             ;21;48;0
192;7792390001059;GIACOMO X 500 VERDURAS                           ;CARNICERIA                             ;21;4150;0
193;7794767000566;FIDEO LIGHT TALL                                 ;CARNICERIA                             ;21;20.6;0
194;7792200000920;FIDEO MULTIPLE NIDO                              ;CARNICERIA                             ;21;125;0
195;7790060034000;FIDEO FAVORITA TALLAR.                           ;CARNICERIA                             ;21;48;0
196;7798078080019;FIDEO NOSTRA PASTA                               ;CARNICERIA                             ;21;2650;0
197;7794000592506;PURE PAPAS KNORR X 125                           ;CARNICERIA                             ;21;2450;0
198;7798092965521;GUANTES MAKE                                     ;CARNICERIA                             ;21;320;0
199;7798017931495;BROCHES PLASTICOS                                ;CARNICERIA                             ;21;800;0
